State,District,Latitude,Longitude,District code,Population,Households,Households_with_Internet,LPG_or_PNG_Households,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Ownership_Owned_Households,Ownership_Rented_Households,sex_ratio
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,39920,170,4762,1102,2450,20141,5793,93.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,19718,57,3583,577,1382,12051,2014,103.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,29021,450,4866,2072,4568,11640,5518,98.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,19695,95,586,605,884,15458,410,103.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,44971,312,6549,1203,3884,17340,7188,91.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,15950,207,3068,703,2128,5317,3805,93.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,23477,381,4211,2002,2973,11259,3062,98.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,50488,2477,22966,6454,8668,15037,12769,98.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,13182,96,3794,895,205,6820,2134,71.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,24920,98,3104,679,1369,15861,2575,94.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,10751,97,1504,430,1031,5393,1047,89.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,19214,139,3123,569,1435,13420,1635,100.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,24195,202,7133,1299,1045,9390,5787,82.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,30775,303,6115,1964,4023,14876,4678,93.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,499381,2078,50806,5560,24913,326160,7625,95.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,220393,2523,29937,5837,16579,134382,12007,97.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,435160,5316,62135,8700,22647,324905,25190,96.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,288706,1166,17676,3533,13662,180669,3789,95.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,228262,1192,16547,3504,12293,122182,5984,95.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,377015,8817,76292,21112,44664,195303,38157,96.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,268114,1364,21455,4112,15292,190189,4793,96.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,327083,3073,40889,9295,27300,193055,12450,96.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,175417,1211,11035,2583,5589,134032,4264,95.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,367154,5651,71639,16081,44159,196137,21137,96.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,434445,3109,70272,10052,34461,295002,7808,95.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,252876,1923,18763,3934,13699,155192,16484,95.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,294640,1933,28261,3757,7289,230546,10212,96.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,222011,1218,15089,2996,12191,171597,4205,96.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,327933,1948,32104,6904,25699,183814,12407,97.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,799185,5121,89206,13979,47693,509358,32751,96.0
